id;name;parent_id
756;-4789609733228349528;484.0
734;461152526396513834;557.0
760;-3994889882108716136;484.0
800;-4112579096892156081;484.0
839;-8226996590714766349;833.0
822;8686554794743545194;819.0
656;-3193868574255724079;564.0
735;-6135412757645491959;586.0
761;-6723007343543294895;735.0
801;1233345963740624191;493.0
840;4301442094498809186;833.0
806;-2171887606805389490;498.0
743;-7114939598897586254;
588;6452511616366805776;585.0
606;-5735249674691292071;585.0
593;3832717490713560563;590.0
590;-5554127466372903560;586.0
596;1481316597598373822;595.0
599;3229802310355237756;595.0
600;159726151138333034;595.0
601;5464217019256191525;595.0
598;-4467779400690566510;595.0
595;-249166012338197441;586.0
744;7456997444082819144;743.0
736;2769726764885778346;735.0
615;1403385602958766143;614.0
762;27322499571606631;745.0
841;4774605183880563607;463.0
807;-4924283630366426117;806.0
602;-405680412168721395;603.0
604;4573339472593311455;603.0
605;3274164229463087229;603.0
607;8019828489033951291;603.0
603;6131292831292007745;586.0
644;-5637481680783654599;586.0
610;8618167710933960161;586.0
613;7323326999096927482;614.0
745;9118501909301465005;485.0
763;-5170582045207611079;745.0
842;-505159915574881591;841.0
737;-6230732100269819266;498.0
808;-8697684916347107213;806.0
746;-4218808263297237021;745.0
809;-7223093677822393723;463.0
843;4636862616445527814;841.0
738;5415011233841461712;735.0
747;-1299266212903332746;745.0
844;4119078602595882727;841.0
827;-3298293933606534378;463.0
810;5378168118662085425;809.0
748;-6052825315065030673;586.0
828;2381106060780418302;827.0
845;3785273121648916517;841.0
465;-6228715963514125939;462.0
466;6508310881173935548;462.0
467;-3811989397044570345;462.0
468;-6629543635424917546;462.0
811;3596218147610490763;497.0
462;-5728712139210639546;463.0
812;-2485760304421309534;463.0
480;4708668612071081662;481.0
482;-3900909365450172026;481.0
486;2675154645492600470;481.0
487;-2265330938162031874;481.0
481;7404990647767711713;463.0
492;4083302921029820288;493.0
484;6313364556350079488;485.0
520;-561320647001971280;521.0
493;-6161138592832723528;463.0
463;7840830496858320347;
829;-5339272730398886813;827.0
749;4637831269780929799;748.0
846;-6809177762267197710;510.0
483;-6452143780681029178;484.0
543;78867575714493779;484.0
544;-5084469029656977555;484.0
545;1998910837110823756;484.0
546;-1700054837918344753;484.0
548;7314998168550520449;484.0
549;-4349624112547981817;484.0
550;7172920100055798702;484.0
830;7737121033420655342;827.0
538;3462310541238598698;526.0
526;-1094024753721821865;485.0
551;1960558774626579821;552.0
553;1865384348254551643;552.0
